Location Name,"Street Address (Required, street name and number)",City (Required),"State (Required, NN format)",Zip Code (Required),"Latitude (Optional, nnn.nnnnnn)","Longitude (Optional, nnn.nnnnnn)",Location Type (Optional),Location Group (Optional)
University of Massachusetts-Amherst,374 Whitmore Building 181 Presidents Drive,Amherst,MA,01003,42.385999,-72.526728,,Large Suburb
College of Our Lady of the Elms,291 Springfield St,Chicopee,MA,01013,42.141781,-72.60154,,Large Suburb
Holyoke Community College,303 Homestead Ave,Holyoke,MA,01040,42.194781,-72.651252,,Large Suburb
Jolie Hair and Beauty Academy-Ludlow,44 Sewall Street,Ludlow,MA,01056,42.157816,-72.480436,,Large Suburb
Conway School of Landscape Design,88 Village Hill Road,Northampton,MA,01060,42.313857,-72.64875,,Large Suburb
Smith College,Elm St,Northampton,MA,01063,42.318111,-72.638097,,Large Suburb
DiGrigoli School of Cosmetology,1578 Riverdale St,West Springfield,MA,01089,42.146311,-72.630272,,Large Suburb
Bay Path University,588 Longmeadow Street,Longmeadow,MA,01106,42.055088,-72.583382,,Large Suburb
American International College,1000 State Street,Springfield,MA,01109,42.112346,-72.558338,,Midsize City
"Springfield College-Regional, Online, and Continuing Education","Springfield College - Regional, Online, and Continuing Education",Springfield,MA,01109,42.1022,-72.556647,,Midsize City
Williams College,880 Main St,Williamstown,MA,01267,42.712725,-73.203132,,Fringe Town
Monty Tech,1050 Westminster St,Fitchburg,MA,01420,42.560648,-71.860827,,Midsize Suburb
Spa Tech Institute-Westboro,227 Turnpike Rd.  - Suite 1,Westborough,MA,01581,42.285984,-71.635686,,Large Suburb
Bancroft School of Massage Therapy,333 Shrewsbury St,Worcester,MA,01604,42.268973,-71.778113,,Midsize City
Rob Roy Academy-Worcester,150 Pleasant St,Worcester,MA,01609,42.263673,-71.807728,,Midsize City
University of Massachusetts Medical School Worcester,55 Lake Ave North,Worcester,MA,01655,42.278002,-71.762144,,Midsize City
Empire Beauty School-Framingham,624 Worcester Rd,Framingham,MA,01702,42.297803,-71.422199,,Small City
National Aviation Academy of New England,130 Baker Ave Extension,Concord,MA,01742,42.462164,-71.387244,,Large Suburb
Assabet Valley Regional Technical School,215 Fitchburg St,Marlborough,MA,01752,42.36775,-71.567281,,Large Suburb
Millennium Training Institute,"600 West Cummings Park, Suite 2550",Woburn,MA,01801,42.495678,-71.12749,,Large Suburb
Massachusetts School of Law,500 Federal St Woodland Park,Andover,MA,01810,42.682106,-71.19954,,Large Suburb
Northpoint Bible College,320 South Main Street,Haverhill,MA,01835,42.765357,-71.079335,,Large Suburb
Merrimack College,315 Turnpike St,North Andover,MA,01845,42.668344,-71.124216,,Large Suburb
EINE Inc,"1501 Main St, Ste 50",Tewksbury,MA,01876,42.598024,-71.220396,,Large Suburb
Greater Lowell Technical School,250 Pawtucket Blvd,Tyngsboro,MA,01879,42.653908,-71.38618,,Large Suburb
Endicott College,376 Hale Street,Beverly,MA,01915,42.553296,-70.840847,,Large Suburb
Spa Tech Institute-Ipswich,126 High St,Ipswich,MA,01938,42.688622,-70.849391,,Large Suburb
Salem State University,352 Lafayette St,Salem,MA,01970,42.503575,-70.890234,,Large Suburb
Gordon-Conwell Theological Seminary,130 Essex St,South Hamilton,MA,01982,42.613475,-70.846387,,Large Suburb
Gordon College,255 Grapevine Rd,Wenham,MA,01984,42.590567,-70.82151,,Large Suburb
Blue Hills Regional Technical School,800 Randolph St,Canton,MA,02021,42.18221,-71.104081,,Large Suburb
Tri County Regional Vocational Technical High School,147 Pond St,Franklin,MA,02038,42.094957,-71.421577,,Large Suburb
FINE Mortuary College,150 Kerry Place,Norwood,MA,02062,42.181479,-71.19293,,Large Suburb
Universal Technical Institute of Massachusetts Inc,"One Upland Road, Building 200",Norwood,MA,02062,42.209969,-71.202405,,Large Suburb
University of Massachusetts-Central Office,1 Beacon Street,Boston,MA,02108,42.35849,-71.060761,,Large City
North Bennet Street School,150 North Street,Boston,MA,02109,42.36279,-71.05452,,Large City
Empire Beauty School-Boston,30 West Street,Boston,MA,02111,42.354683,-71.062722,,Large City
Emmanuel College,400 The Fenway,Boston,MA,02115,42.340602,-71.103634,,Large City
New England College of Optometry,424 Beacon St,Boston,MA,02115,42.351853,-71.086829,,Large City
Northeastern University Lifelong Learning Network,360 Huntington Ave,Boston,MA,02115,42.339992,-71.088782,,Large City
Wentworth Institute of Technology,550 Huntington Ave,Boston,MA,02115,42.336632,-71.094983,,Large City
Bay State College,31 St. James Avenue,Boston,MA,02116,42.350966,-71.071615,,Large City
Benjamin Franklin Institute of Technology,41 Berkeley St,Boston,MA,02116,42.346023,-71.070231,,Large City
Fisher College,118 Beacon Street,Boston,MA,02116,42.355253,-71.074125,,Large City
New England Law-Boston,154 Stuart St,Boston,MA,02116,42.350833,-71.0665,,Large City
Urban College of Boston,"2 Boylston Street, 2nd Floor",Boston,MA,02116,42.352922,-71.0642,,Large City
Cambridge College,500 Rutherford Avenue,Boston,MA,02129,42.381091,-71.072646,,Large City
Harvard University,Massachusetts Hall,Cambridge,MA,02138,42.374471,-71.118313,,Midsize City
Longy School of Music of Bard College,27 Garden Street,Cambridge,MA,02138,42.378657,-71.123479,,Midsize City
Lincoln Technical Institute-Somerville,5 Middlesex Ave,Somerville,MA,02145,42.390826,-71.082082,,Large Suburb
Empire Beauty School-Malden,347 Pleasant St,Malden,MA,02148,42.427368,-71.076619,,Large Suburb
New England Hair Academy,492-500 Main St,Malden,MA,02148,42.427969,-71.067282,,Large Suburb
Elizabeth Grady School of Esthetics and Massage Therapy,222 Boston Avenue,Medford,MA,02155,42.414728,-71.12623,,Large Suburb
Lawrence Memorial Hospital School of Nursing,170 Governors Ave,Medford,MA,02155,42.42581,-71.110958,,Large Suburb
Massachusetts School of Barbering,58 Ross Way,Quincy,MA,02169,42.247457,-71.001891,,Large Suburb
Quincy College,1250 Hancock Street,Quincy,MA,02169,42.252416,-71.003476,,Large Suburb
Laboure College,303 Adams Street,Milton,MA,02186,42.260866,-71.058279,,Large Suburb
Berklee College of Music,1140 Boylston St,Boston,MA,02215,42.346646,-71.089405,,Large City
Boston University,One Silber Way,Boston,MA,02215,42.351118,-71.107942,,Large City
Bridgewater State University,131 Summer Street,Bridgewater,MA,02325,41.98749,-70.974553,,Large Suburb
Spa Tech Institute-Plymouth,59 Industrial Park Rd,Plymouth,MA,02360,41.958481,-70.704453,,Large Suburb
Southeastern Technical Institute,250 Foundry St,South Easton,MA,02375,42.010312,-71.081227,,Rural Fringe
Boston Graduate School of Psychoanalysis Inc,1581 Beacon Street,Brookline,MA,02446,42.33912,-71.133151,,Large Suburb
William James College,One Wells Avenue,Newton,MA,02459,42.294995,-71.203256,,Small City
Lasell University,1844 Commonwealth Avenue,Newton,MA,02466,42.342148,-71.24347,,Small City
Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,02467,42.336213,-71.169242,,Small City
Pine Manor College,400 Heath St,Chestnut Hill,MA,02467,42.320827,-71.156464,,Large Suburb
Upper Cape Cod Regional Technical School,220 Sandwich Road,Bourne,MA,02532,41.745328,-70.578837,,Midsize Suburb
Diman Regional Technical Institute,251 Stonehaven Rd,Fall River,MA,02723,41.699857,-71.124742,,Large Suburb
Motoring Technical Training Institute,1241 Fall River Avenue,Seekonk,MA,02771,41.791885,-71.324909,,Large Suburb
IYRS School of Technology & Trades,449 Thames St,Newport,RI,02840,41.480948,-71.314724,,Large Suburb
New England Tractor Trailer Training School of Rhode Island,600 Moshassuck Valley Industrial Hwy,Pawtucket,RI,02860,41.880296,-71.405906,,Large Suburb
Lincoln Technical Institute-Lincoln,622 George Washington Hwy,Lincoln,RI,02865,41.9385,-71.47748,,Large Suburb
University of Rhode Island,"Green Hall, 35 Campus Avenue",Kingston,RI,02881,41.484691,-71.527356,,Large Suburb
Empire Beauty School-Warwick,151 Broadway,Providence,RI,02903,41.821724,-71.422425,,Midsize City
Johnson & Wales University-Online,8 Abbott Park Pl,Providence,RI,02903,41.819956,-71.41277,,Midsize City
Rhode Island College,600 Mount Pleasant Ave,Providence,RI,02908,41.842415,-71.46556,,Large Suburb
Brown University,One Prospect Street,Providence,RI,02912,41.82617,-71.40385,,Midsize City
Paul Mitchell the School-Rhode Island,"30 Chapel View Blvd., Suite 100",Cranston,RI,02920,41.755208,-71.459056,,Large Suburb
Toni & Guy Hairdressing Academy-Cranston,1279 Oaklawn Ave,Cranston,RI,02920,41.731937,-71.479109,,Large Suburb
Continental Academie of Hair Design-Hudson,102 Derry St,Hudson,NH,03051,42.7768,-71.44515,,Midsize Suburb
New Hampshire Institute for Therapeutic Arts,153 Lowell Rd,Hudson,NH,03051,42.745262,-71.426722,,Midsize Suburb
Thomas More College of Liberal Arts,6 Manchester St,Merrimack,NH,03054,42.80683,-71.48437,,Midsize Suburb
Rivier University,420 South Main St,Nashua,NH,03060,42.738676,-71.45626,,Small City
St Joseph School of Nursing,5 Woodward Ave,Nashua,NH,03060,42.750142,-71.478401,,Small City
American School of Nursing and Medical Careers,670 N. Commercial St. Suite 403,Manchester,NH,03103,42.997765,-71.468655,,Midsize City
Empire Beauty School-Hooksett,1328 Hooksett Rd,Hooksett,NH,03106,43.054992,-71.44412,,Midsize Suburb
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,79-6 South River Road,Bedford,NH,03110,42.957837,-71.476135,,Midsize Suburb
New England College,98 Bridge St,Henniker,NH,03242,43.176403,-71.822282,,Rural Distant
Empire Beauty School-Laconia,556 Main St,Laconia,NH,03246,43.527157,-71.469612,,Distant Town
Lakes Region Community College,379 Belmont Road,Laconia,NH,03246,43.507568,-71.462602,,Rural Fringe
Antioch University-New England,40 Avon St,Keene,NH,03431,42.932344,-72.293798,,Distant Town
Keene Beauty Academy,800 Park Ave,Keene,NH,03431,42.948977,-72.321097,,Distant Town
White Mountains Community College,2020 Riverside Drive,Berlin,NH,03570,44.503494,-71.158535,,Remote Town
New England School of Hair Design,12 Interchange Dr,West Lebanon,NH,03784,43.627356,-72.321429,,Rural Fringe
